sharing others,,,Row Labels,Count of sharing others,Count of sharing others2
,,,celebrating,7,24.14%
learning,,,excited,1,3.45%
celebrating,,,excitrement,1,3.45%
learning,,,learning,8,27.59%
celebrating,,,resources,1,3.45%
sharing others,,,sharing others,8,27.59%
learning,,,sharing self,2,6.90%
,,,thanks,1,3.45%
sharing others,,,(blank),,0.00%
,,,Grand Total,29,100.00%
,,,,,
celebrating,,,,,
,,,,,
sharing self,,,,,
,,,,,
celebrating,,,,,
,,,,,
learning,,,,,
resources,,,,,
learning,,,,,
,,,,,
,,,,,
,,,,,
sharing others,,,,,
sharing others,,,,,
,,,,,
learning,,,,,
,,,,,
,,,,,
,,,,,
sharing others,,,,,
,,,,,
learning,,,,,
,,,,,
excited,,,,,
celebrating,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
sharing self,,,,,
celebrating,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
excitrement,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
celebrating,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
sharing others,,,,,
,,,,,
,,,,,
,,,,,
learning,,,,,
,,,,,
thanks,,,,,
,,,,,
,,,,,
sharing others,,,,,
,,,,,
,,,,,
sharing others,,,,,
