explanation,,,,,
sharing,,,,,
explanation,,,Row Labels,Count of explanation,Count of explanation2
explanation,,,anticipation,1,1.54%
explanation,,,celebrating,1,1.54%
findings,,,excitement,1,1.54%
explanation,,,experimenting,1,1.54%
explanation,,,explanation,34,52.31%
explanation,,,findings,8,12.31%
celebrating,,,first time,5,7.69%
learning,,,late,3,4.62%
first time,,,learning,4,6.15%
explanation,,,sharing,6,9.23%
explanation,,,teaching,1,1.54%
explanation,,,(blank),,0.00%
explanation,,,Grand Total,65,100.00%
explanation,,,,,
sharing,,,,,
findings,,,,,
explanation,,,,,
explanation,,,,,
explanation,,,,,
first time,,,,,
explanation,,,,,
findings,,,,,
explanation,,,,,
explanation,,,,,
explanation,,,,,
explanation,,,,,
explanation,,,,,
explanation,,,,,
explanation,,,,,
sharing,,,,,
sharing,,,,,
findings,,,,,
explanation,,,,,
explanation,,,,,
explanation,,,,,
first time,,,,,
explanation,,,,,
teaching,,,,,
explanation,,,,,
learning,,,,,
explanation,,,,,
findings,,,,,
explanation,,,,,
explanation,,,,,
sharing,,,,,
late,,,,,
,,,,,
experimenting,,,,,
findings,,,,,
explanation,,,,,
,,,,,
late,,,,,
,,,,,
explanation,,,,,
explanation,,,,,
sharing,,,,,
,,,,,
,,,,,
,,,,,
late,,,,,
,,,,,
,,,,,
first time,,,,,
first time,,,,,
,,,,,
,,,,,
excitement,,,,,
,,,,,
,,,,,
learning,,,,,
,,,,,
,,,,,
findings,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
explanation,,,,,
learning,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
anticipation,,,,,
,,,,,
,,,,,
findings,,,,,
