"","Sample","text"
"1",3,"My #TidyTuesday submission, showing some of the LEAST popular pet names in Seattle, and trust me, these are worth reading. #rstats https://t.co/k97pCXSoJT"
"2",3,"overlaying UFO sighting with bigfoot provides some interesting results. #TidyTuesday #ggplot2 .The code https://t.co/U2Cp5UsN3X . Plot was edited in Inkscape to make it look fancy https://t.co/zJ3BjED9xK"
"3",3,"It’s been exciting to watch Ss create visualizations and calculate statistics using @rstudio and then storyboard using sticky notes as they plan to write their blog articles! Thanks #TidyTuesday for data and @storywithdata for the sticky note idea! - Mr. Adams https://t.co/EF9LRIRcnO"
"4",3,"""Studies have shown that people enjoy identical products such as wine more if they have a higher price tag""
Fortunately, there are plenty of good wines for $20 or less including Algerian wine not listed here.  
#TidyTuesday https://t.co/ASKgnstPjn"
"5",3,"Super late #tidytuesday this week! Fixed @TheEconomist plot on women in research. Not a huge fan of the coord_plot for clarity, but everyone else already used the best options and this was a different and fun. Code: https://t.co/ZRRlYtv0JD https://t.co/S556Yuikfb"
"6",3,"#TidyTuesday movies dataset from 538 vis. Highlights shoestring budgets horror movies enjoying big payoffs.  #fallcolors == viridis' inferno. scale_color_viridis_c(option = ""B"") https://t.co/xULkWeRXzb"
"7",3,"#TidyTuesday. Mismanaged waste of 'top' 36 countries as % of Sri Lanka; country with the highest kg per person per day: 0.299kg. Lighter shade of grey...

*My son chose the yellow color and titled this plot as 'pacman'! 

Code: https://t.co/7zmVawPz3G
Source: Our World in Data. https://t.co/IqnEXIXFwx"
"8",3,"#TidyTuesday video games data. The median price shows that games are getting cheaper now. Too bad many games don't have Metascore. Games Metascore looks better in early 2000. Is current games bad? Or is it because our expectation to games are rising?

https://t.co/oGs9Nch9DT https://t.co/13f3rBRsdO"
"9",3,"Clean like nobody is watching! <U+0001F57A> 

#tidytuesday #clean #cleaning https://t.co/7pUu2ZrMC4"
"10",3,"#rstats #ggplot #hrbrthemes  #tidytuesday @R4DScommunity week23 fast food restaurants. I looked at  total trans fats in the menus. code: https://t.co/K0M3ke7bZY https://t.co/QCmIZjyj8d"
"11",3,"So NYC Restaurants. Ha. My take on this topic. 
The code in GitHub: https://t.co/vbTREkq32Y  #TidyTuesday #rstats https://t.co/AFDjiOfk9o"
"12",3,"#TidyTuesday Women's world cup. Did a similar plot for the men's tournament a while ago. US and Germany were about even in cumulative goals last tournament, but the US has pulled ahead.

#dataviz #rstats https://t.co/WAPMsey767"
"13",3,"It's #TidyTuesday again!
I compared how many acres burn across fire origins. 
Perhaps natural fires burn more is because they are in less accessible areas? Would have checked fire duration too but too much missing data.
See my code at:
https://t.co/3LyhhIAvdz https://t.co/3v0yLMqTAx"
"14",3,"#R #TidyTuesday. 
""Drop the synopsis"" to free up space wrote @thomas_mock on #Github.
I decided not to...<U+0001F648>
Used the synopsis for some text-mining to practice a bit for work.

Code: https://t.co/7zmVawPz3G
Source: MyAnimateList https://t.co/0XsoaMr25P"
"15",3,"Happy #TidyTuesday. Here's an infographic made 100% in #Rstats about how infinitives in a @Medium post's title reflects the content of the post. 

Also, I had to accept that I will be perennially late with this, since Tuesdays are always crazy busy.
https://t.co/rREVibjG2a https://t.co/iCfgGGR7b8"
"16",3,"Part two of teaching myself purrr with #tidytuesday: Fitting Gaussian processes and generalised additive models to budget data. Code and more at https://t.co/JnSFcL4S0j #R4DS https://t.co/GZe6mz6YgB"
"17",3,"Week 27 #TidyTuesday
Sunburst diagram visualising the revenues by owners, franchise and revenue category <U+0001F4FA><U+0001F4CA>

#R #rstat #dataviz #programming https://t.co/4Lx2vP1CDN"
"18",3,"#TidyTuesday #rstats Week 2018-10-23: Horror Movies and Profit
<U+0001F604> https://t.co/il1PRjzahP"
"19",3,"Geom_waffle with a ""passion-fruit"" colour scheme... wasn't hungry before figuring this out, but am now

@PodsProgram #r4ds #rstats #tidytuesday (#butonthursday) https://t.co/yamaZyg6XI"
"20",3,"#TidyTuesday Here's my graph for this week. I didn't have much time so I chose to make a very simple graph.

All feedback is welcome!

Code:https://t.co/FUXjNmsIet
#rstats #dataviz https://t.co/pKaECW4gzs"
"21",3,"#TidyTuesday this week is about gender pay disparity in the USA. 

First plot: female salary as a percentage of male salary

#rstats https://t.co/dvjCddAVB6"
"22",3,"Dramas have the lowest median return on investment (ROI) out of these 5 movie genres but have the potential to do really well. Interesting that horror films have the highest median ROI but so few are made. #TidyTuesday https://t.co/lDpPq4D11d"
"23",3,"this is my attempt to visualize the same data
#TidyTuesday #rstats #dataviz 
code: https://t.co/wVFl9kwckC https://t.co/H9BQIBDi1N"
"24",3,"Common genre combinations in anime and manga. #TidyTuesday #rstats https://t.co/qQLjshwIXD"
"25",3,"Our 2nd #tidytuesday hacky hours, with four @ucsantabarbara departments represented (@brenucsb, Anthropology, EEMB, Environmental Studies) + @nceas! <U+0001F973><U+0001F3BE><U+0001F4C8> #rstats https://t.co/ComwmTSHDV"
"26",3,"Here is my #TidyTuesday graph (or chart?)
And here is my code: https://t.co/wwgW5Qsimk

Real quick, do people prefer #github or #Rpubs?

#DataScience 
#learning
#tidyverse 
#anime https://t.co/BwXbKY3IC6"
