"","Sample","text"
"1",5,"Adding #testthat tests to your #rstats package helps with proper regression testing. But @_lionelhenry’s #vdiffr package extends this functionality even further, allowing you to test for regressions in visuals such as #ggplot2 plots! #rstats #tidytuesday https://t.co/bfPLbGcWBm"
"2",5,"#TidyTuesday Week13, not that tidy but still learn a lot on the #rstats table output (cannot get the origin table on 538) https://t.co/FwfgbMnVBX https://t.co/PMs1Hxlndl"
"3",5,"A little late on #TidyTuesday - lots of data cleaning as well as plotting! Cleveland dot plot showing overall invasion threat &amp; invasion cost as a proportion of GDP. 

Tutorial: https://t.co/KDmDf2aT5d

#rstats #r4ds @thomas_mock @R4DScommunity https://t.co/tRK9BW39Np"
"4",5,"#TidyTuesday. Old school!
'Sleepless (pets) in Seattle'.
Old school pie chart and old school colours!
I know some people have this big aversion against pie charts: but not me!

Code:https://t.co/7zmVawPz3G
Source: https://t.co/JslPnShcnz https://t.co/ui6yXjbYVR"
"5",5,"A lot of time can be wasted when you can't find things on a messy desk. 
#TidyingUp #TidyTuesday https://t.co/keOaC6dNPW"
"6",5,"For my Thanksgiving #TidyTuesday exploration, I tried to use market basket analysis to uncover association rules for thanksgiving dishes and then compare those rules community types. Not perfect, but it's something! https://t.co/6Eh9RrFb1W https://t.co/nXz05Aczje"
"7",5,"Extending the analysis on the #TidyTuesday dataset, for winery-varieties having more than one taster, I analysed the skew in the number of times each taster was involved and whether they had a significant impact on the mean points for the winery #rstats https://t.co/vnRym47AMV"
"8",5,"This week I continued to play around with labels, using them to point out particular events not covered in the original article. As you might expect, presidential activities bring media coverage to natural disasters, but particularly when paper towels are involved. #TidyTuesday https://t.co/D9krHSGglP"
"9",5,"With #TidyTuesday's state level house price index data, I looked at how each state has changed since the housing crisis. Percentages are calculated w/ each states lowest HPI divided by their 2018 HPI. 
Should have put money into Nevada real estate! 
Code: https://t.co/AcduYkXWmJ https://t.co/mLhgRkClZj"
"10",5,"Playing with the #TidyTuesday Wildlife strikes dataset, creating my first viz with the awesome #rayshader package for #rstats. 
A small multiples showing the yearly distribution in the contiguous USA and a heatmap.
Src: https://t.co/Ole0lcmn6r https://t.co/OF1q68ECrO"
