"","tweet_num","total_n_funcs","recognitions","screen_name","status_url","created_at","communication","data cleaning","evaluation","exploratory","export","import","modeling","setup","visualization"
"1",1,97,12,"_abichat","https://twitter.com/_abichat/status/1116724924255801345",2019-04-12 15:29:04,1,41,1,6,3,2,1,3,39
"2",2,22,1,"_abichat","https://twitter.com/_abichat/status/1145986752441663488",2019-07-02 09:25:07,0,7,0,1,2,1,0,2,9
"3",1,29,38,"_andrewgeisler","https://twitter.com/_andrewgeisler/status/1133057692745031681",2019-05-27 17:09:39,0,15,0,0,0,2,0,1,11
"4",1,63,1,"_raghuc","https://twitter.com/_raghuc/status/1001857691692740609",2018-05-30 16:07:41,1,39,1,4,1,5,0,6,6
"5",1,28,16,"alangel12407606","https://twitter.com/alangel12407606/status/1150146354817187840",2019-07-13 20:53:54,0,11,0,0,0,1,0,1,15
"6",1,29,21,"AllenRyan91","https://twitter.com/AllenRyan91/status/1115816097238802432",2019-04-10 03:17:43,0,11,0,2,0,2,3,1,10
"7",1,63,30,"allison_horst","https://twitter.com/allison_horst/status/1115284632621051904",2019-04-08 16:05:52,1,39,1,4,1,5,0,6,6
"8",2,30,124,"allison_horst","https://twitter.com/allison_horst/status/1116014995697831942",2019-04-10 16:28:04,0,12,0,2,1,2,0,1,12
"9",3,33,103,"allison_horst","https://twitter.com/allison_horst/status/1120887764596088833",2019-04-24 03:10:42,0,10,1,1,2,2,0,1,16
"10",4,45,19,"allison_horst","https://twitter.com/allison_horst/status/1123341312445403137",2019-04-30 21:40:14,0,28,2,4,0,2,1,5,3
"11",5,70,19,"allison_horst","https://twitter.com/allison_horst/status/1123341312445403137",2019-04-30 21:40:14,2,39,1,3,2,1,2,7,13
"12",6,22,19,"allison_horst","https://twitter.com/allison_horst/status/1123341312445403137",2019-04-30 21:40:14,0,8,0,0,1,2,0,3,8
"13",7,200,74,"allison_horst","https://twitter.com/allison_horst/status/1125958293044678657",2019-05-08 02:59:11,8,105,5,11,3,14,8,26,20
"14",8,16,74,"allison_horst","https://twitter.com/allison_horst/status/1125958293044678657",2019-05-08 02:59:11,0,6,0,0,1,2,0,1,6
"15",9,16,49,"allison_horst","https://twitter.com/allison_horst/status/1131050758416134145",2019-05-22 04:14:49,0,5,0,0,1,2,0,1,7
"16",10,55,97,"allison_horst","https://twitter.com/allison_horst/status/1133767994360778754",2019-05-29 16:12:08,0,16,0,1,2,2,0,2,32
"17",11,106,371,"allison_horst","https://twitter.com/allison_horst/status/1136091568903901185",2019-06-05 02:05:12,1,53,3,7,1,2,1,7,31
"18",12,18,371,"allison_horst","https://twitter.com/allison_horst/status/1136091568903901185",2019-06-05 02:05:12,0,10,0,1,0,2,0,3,2
"19",13,55,371,"allison_horst","https://twitter.com/allison_horst/status/1136091568903901185",2019-06-05 02:05:12,0,16,0,1,2,2,0,2,32
"20",1,63,6,"AmirSariaslan","https://twitter.com/AmirSariaslan/status/1121093319877120000",2019-04-24 16:47:31,1,39,1,4,1,5,0,6,6
"21",1,110,10,"AndrewRenninger","https://twitter.com/AndrewRenninger/status/1156158904902066176",2019-07-30 11:05:37,0,48,3,6,1,4,3,7,38
"22",2,121,15,"AndrewRenninger","https://twitter.com/AndrewRenninger/status/1161383984791556096",2019-08-13 21:08:14,1,57,4,7,2,2,1,6,41
"23",1,26,24,"APonsero","https://twitter.com/APonsero/status/1146938982258753536",2019-07-05 00:28:57,0,9,0,1,1,2,0,1,12
"24",2,17,22,"APonsero","https://twitter.com/APonsero/status/1152645307017990144",2019-07-20 18:23:50,0,3,0,0,0,2,0,1,11
"25",3,22,10,"APonsero","https://twitter.com/APonsero/status/1157460582347313152",2019-08-03 01:18:02,0,8,0,0,0,2,0,1,11
"26",1,28,5,"barbaravreede","https://twitter.com/barbaravreede/status/1161609208019783680",2019-08-14 12:03:11,0,11,0,1,0,1,0,3,12
"27",1,23,8,"becksborg","https://twitter.com/becksborg/status/1085572693984989189",2019-01-16 16:21:13,0,10,0,1,0,1,0,1,10
"28",1,25,43,"BenMoretti","https://twitter.com/BenMoretti/status/1097990602061275137",2019-02-19 22:45:33,0,11,1,1,0,1,0,1,10
"29",2,15,65,"BenMoretti","https://twitter.com/BenMoretti/status/1100378930865827840",2019-02-26 12:55:55,1,3,0,0,2,2,0,1,6
"30",3,19,14,"BenMoretti","https://twitter.com/BenMoretti/status/1105435374002700289",2019-03-12 11:48:25,0,6,1,2,1,1,0,1,7
"31",4,20,15,"BenMoretti","https://twitter.com/BenMoretti/status/1110472958240157696",2019-03-26 09:25:59,0,7,0,1,1,2,0,1,8
"32",1,116,2,"BPDranka","https://twitter.com/BPDranka/status/1131296676302471169",2019-05-22 20:32:00,3,65,4,9,1,4,8,8,14
"33",1,34,40,"BryceVMurphy","https://twitter.com/BryceVMurphy/status/988888066868723713",2018-04-24 21:11:02,0,16,0,3,0,2,0,2,11
"34",1,63,4,"chendaniely","https://twitter.com/chendaniely/status/1114941883132858368",2019-04-07 17:23:54,1,39,1,4,1,5,0,6,6
"35",1,19,33,"cherrysearch","https://twitter.com/cherrysearch/status/1037714406476533760",2018-09-06 14:49:28,0,5,0,0,0,0,0,2,12
"36",2,35,13,"cherrysearch","https://twitter.com/cherrysearch/status/1135486431428849664",2019-06-03 10:00:36,0,10,0,4,1,2,2,1,15
"37",1,13,23,"Christi58451746","https://twitter.com/Christi58451746/status/1130939459090944000",2019-05-21 20:52:33,0,4,0,0,0,2,0,2,5
"38",2,26,105,"Christi58451746","https://twitter.com/Christi58451746/status/1132014318747361280",2019-05-24 20:03:40,0,7,0,0,0,2,0,1,16
"39",3,25,25,"Christi58451746","https://twitter.com/Christi58451746/status/1136002349766520832",2019-06-04 20:10:40,0,6,0,0,0,2,2,2,13
"40",4,18,65,"Christi58451746","https://twitter.com/Christi58451746/status/1138523788449107973",2019-06-11 19:09:58,0,2,0,0,1,2,0,1,12
"41",5,25,55,"Christi58451746","https://twitter.com/Christi58451746/status/1141812403325288459",2019-06-20 20:57:45,0,8,0,1,0,2,0,1,13
"42",6,20,13,"Christi58451746","https://twitter.com/Christi58451746/status/1150437931112439808",2019-07-14 16:12:31,0,7,0,1,1,2,0,1,8
"43",1,16,18,"ChuliangXiao","https://twitter.com/ChuliangXiao/status/991793276876460034",2018-05-02 21:35:18,0,11,0,0,1,1,0,3,0
"44",1,15,18,"cleris_mr","https://twitter.com/cleris_mr/status/1138407944612175872",2019-06-11 11:29:39,0,2,0,0,1,2,0,2,8
"45",2,31,40,"cleris_mr","https://twitter.com/cleris_mr/status/1144331708596137984",2019-06-27 19:48:34,0,12,0,2,0,2,0,4,11
"46",3,31,25,"cleris_mr","https://twitter.com/cleris_mr/status/1146903695478657024",2019-07-04 22:08:44,0,12,0,2,0,2,0,4,11
"47",1,26,36,"cole_brookson","https://twitter.com/cole_brookson/status/1135990659536412673",2019-06-04 19:24:13,0,13,1,1,0,2,0,1,8
"48",1,15,74,"Cristobal_Montt","https://twitter.com/Cristobal_Montt/status/1138187182559170560",2019-06-10 20:52:25,0,4,0,0,0,2,0,2,7
"49",2,34,19,"Cristobal_Montt","https://twitter.com/Cristobal_Montt/status/1140984455512887296",2019-06-18 14:07:47,1,13,0,2,1,2,0,5,10
"50",3,18,13,"Cristobal_Montt","https://twitter.com/Cristobal_Montt/status/1146082303480909824",2019-07-02 15:44:48,0,4,0,1,2,2,0,3,6
"51",4,24,9,"Cristobal_Montt","https://twitter.com/Cristobal_Montt/status/1150742528011984896",2019-07-15 12:22:53,0,17,0,0,1,0,0,3,3
"52",5,7,20,"Cristobal_Montt","https://twitter.com/Cristobal_Montt/status/1151099436107522048",2019-07-16 12:01:06,0,4,0,0,0,2,0,1,0
"53",6,35,37,"Cristobal_Montt","https://twitter.com/Cristobal_Montt/status/1161758602580963328",2019-08-14 21:56:49,0,6,0,0,2,3,0,3,21
"54",1,27,39,"cs_teitelbaum","https://twitter.com/cs_teitelbaum/status/988906922433794048",2018-04-24 22:25:57,0,10,1,2,0,1,1,1,11
"55",2,22,16,"cs_teitelbaum","https://twitter.com/cs_teitelbaum/status/991441913831190529",2018-05-01 22:19:07,0,6,0,1,0,1,0,1,13
"56",3,22,7,"cs_teitelbaum","https://twitter.com/cs_teitelbaum/status/997471250548129792",2018-05-18 13:37:32,0,10,0,0,0,1,0,1,10
"57",4,29,16,"cs_teitelbaum","https://twitter.com/cs_teitelbaum/status/1004737636555161600",2018-06-07 14:51:34,0,13,0,1,0,1,0,2,12
"58",1,11,11,"daranzolin","https://twitter.com/daranzolin/status/993716383648137216",2018-05-08 04:57:02,0,7,1,0,1,1,0,1,0
"59",1,64,21,"data_fiend","https://twitter.com/data_fiend/status/1155954817900019714",2019-07-29 21:34:39,5,28,1,0,1,3,0,8,18
"60",2,64,19,"data_fiend","https://twitter.com/data_fiend/status/1157013118637281280",2019-08-01 19:39:58,5,28,1,0,1,3,0,8,18
"61",3,64,2,"data_fiend","https://twitter.com/data_fiend/status/1163081991530668032",2019-08-18 13:35:30,5,28,1,0,1,3,0,8,18
"62",1,136,32,"datujn","https://twitter.com/datujn/status/1049686388965330944",2018-10-09 15:41:52,6,52,3,7,4,8,1,23,32
"63",1,6,9,"DaveBloom11","https://twitter.com/DaveBloom11/status/994097132868120576",2018-05-09 06:10:00,1,3,0,0,0,0,0,2,0
"64",1,35,21,"david_carayon","https://twitter.com/david_carayon/status/1138745636910555136",2019-06-12 09:51:31,0,9,0,3,2,3,0,1,17
"65",2,40,36,"david_carayon","https://twitter.com/david_carayon/status/1140913693686992896",2019-06-18 09:26:36,1,18,0,0,1,3,1,2,14
"66",3,38,64,"david_carayon","https://twitter.com/david_carayon/status/1146051188518989825",2019-07-02 13:41:10,1,15,1,1,2,3,0,1,14
"67",4,47,38,"david_carayon","https://twitter.com/david_carayon/status/1156181233275211781",2019-07-30 12:34:21,0,22,1,0,2,1,0,1,20
"68",5,40,23,"david_carayon","https://twitter.com/david_carayon/status/1158705416550998018",2019-08-06 11:44:33,0,14,1,2,1,3,0,1,18
"69",1,26,129,"DewiKoning","https://twitter.com/DewiKoning/status/1131986371676200960",2019-05-24 18:12:36,1,12,0,0,1,3,0,2,7
"70",1,16,16,"DouglasZickuhr","https://twitter.com/DouglasZickuhr/status/1019934140186218496",2018-07-19 13:17:03,0,4,0,1,1,1,0,1,8
"71",1,15,16,"DrAmandaRP","https://twitter.com/DrAmandaRP/status/1128853403516514304",2019-05-16 02:43:19,0,11,0,0,0,2,1,1,0
